Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,year
Mr. Smith Goes To Washington,9000000,9000000,NA,1500000,Dec 31 1938,(Missing),NA,Sony/Columbia,Original Screenplay,Drama,NA,Frank Capra,97,8.2,33315,1938
Mortal Kombat,70433227,122133227,NA,20000000,Aug 18 1995,PG-13,NA,New Line,Based on Game,Action,Fantasy,Paul Anderson,35,5.4,29605,1995
The Misfits,8200000,8200000,NA,4000000,Dec 31 1960,(Missing),NA,NA,NA,(Missing),NA,John Huston,100,7.4,6351,1960
My Stepmother Is an Alien,13854000,13854000,NA,16000000,Dec 09 1988,(Missing),NA,Sony Pictures,Original Screenplay,Comedy,Science Fiction,Richard Benjamin,13,4.8,9073,1988
The Man Who Shot Liberty Valance,8000000,8000000,NA,3200000,Jan 01 1962,(Missing),NA,NA,NA,(Missing),NA,John Ford,97,8.1,22681,1962
Meteor,8400000,8400000,NA,16000000,Dec 31 1978,(Missing),NA,NA,NA,(Missing),NA,Ronald Neame,9,4.7,2969,1978
Multiplicity,20133326,20133326,NA,45000000,Jul 17 1996,PG-13,117,Sony Pictures,Based on Book/Short Story,Comedy,Science Fiction,Harold Ramis,44,5.7,11935,1996
The Muppet Christmas Carol,27281507,27281507,NA,12000000,Dec 11 1992,(Missing),NA,Walt Disney Pictures,Based on TV,Comedy,NA,NA,67,7.5,10853,1992
The Man with the Golden Gun,21000000,97600000,NA,7000000,Dec 20 1974,(Missing),NA,MGM,Based on Book/Short Story,Action,NA,Guy Hamilton,52,6.7,22431,1974
My Fair Lady,72000000,72000000,NA,17000000,Oct 22 1964,(Missing),NA,NA,Based on Musical/Opera,Musical,Historical Fiction,George Cukor,94,7.9,28039,1964
Mystic Pizza,12793213,12793213,NA,6000000,Oct 21 1988,(Missing),NA,Samuel Goldwyn Films,Original Screenplay,Comedy,Contemporary Fiction,Donald Petrie,82,5.9,8413,1988
Indiana Jones and the Temple of Doom,179880271,333080271,18998388,28000000,May 23 1984,(Missing),NA,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,85,7.5,110761,1984
Indiana Jones and the Last Crusade,197171806,474171806,18740425,48000000,May 24 1989,(Missing),NA,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,89,8.3,171572,1989
Nighthawks,14600000,19600000,NA,5000000,Apr 10 1981,(Missing),NA,Universal,Original Screenplay,Action,Contemporary Fiction,NA,71,6.3,5649,1981
The English Patient,78716374,231716374,NA,35000000,Nov 15 1996,R,160,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Anthony Minghella,83,7.3,54484,1996
Night of the Living Dead,12000000,30000000,NA,114000,Oct 01 1968,Not Rated,NA,Walter Reade Organization,Original Screenplay,Horror,Science Fiction,NA,96,6.6,10083,1968
No Looking Back,143273,143273,NA,5000000,Mar 27 1998,R,NA,Gramercy,NA,(Missing),NA,Edward Burns,38,5.7,1145,1998
The Nun's Story,12800000,12800000,NA,3500000,Dec 31 1958,(Missing),NA,NA,NA,(Missing),NA,Fred Zinnemann,93,7.5,3313,1958
A Nightmare on Elm Street,25504513,25504513,NA,1800000,Nov 09 1984,(Missing),NA,New Line,Original Screenplay,Horror,Fantasy,Wes Craven,95,5.3,12554,1984
Night of the Living Dead,5835247,5835247,NA,4200000,Oct 19 1990,R,NA,Sony/Columbia,Remake,Horror,Fantasy,NA,67,6.6,10083,1990
Notorious,24464742,24464742,NA,2000000,Dec 31 1945,(Missing),NA,NA,NA,(Missing),NA,Alfred Hitchcock,97,6.3,9811,1945
Never Say Never Again,55500000,160000000,NA,36000000,Oct 07 1983,(Missing),NA,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,NA,65,6,21247,1983
The Nutcracker,2119994,2119994,NA,19000000,Dec 31 1992,(Missing),NA,NA,NA,(Missing),NA,Emile Ardolino,50,5.2,561,1992
Nowhere to Run,22189039,52189039,NA,15000000,Jan 15 1993,(Missing),NA,Sony/Columbia,Original Screenplay,Action,Contemporary Fiction,NA,26,5,6746,1993
The Nutty Professor,128814019,273814019,NA,55000000,Jun 28 1996,PG-13,95,Universal,Remake,Comedy,Kids Fiction,Tom Shadyac,67,5.6,32234,1996
Interview with the Assassin,47329,47329,NA,750000,Nov 15 2002,R,NA,NA,NA,(Missing),NA,NA,67,6.6,1107,2002
Nixon,13668249,34668249,NA,45000000,Dec 20 1995,R,NA,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,Oliver Stone,75,7.1,13761,1995
"New York, New York",13800000,13800000,NA,14000000,Jun 22 1977,(Missing),NA,MGM,Original Screenplay,Musical,NA,Martin Scorsese,63,6.7,1692,1977
New York Stories,10763469,10763469,NA,15000000,Mar 01 1989,(Missing),NA,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Francis Ford Coppola,74,6.1,6906,1989
Octopussy,67900000,187500000,NA,27500000,Jun 10 1983,(Missing),NA,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,47,6.6,23167,1983
One Flew Over the Cuckoo's Nest,108981275,108981275,NA,4400000,Nov 19 1975,(Missing),NA,MGM,Based on Book/Short Story,(Missing),NA,Milos Forman,96,8.9,214457,1975
On Her Majesty's Secret Service,22800000,82000000,NA,8000000,Dec 18 1969,(Missing),NA,MGM,Based on Book/Short Story,Action,NA,NA,81,6.9,23159,1969
The Omen,48570885,48570885,NA,2800000,Jun 25 1976,(Missing),NA,20th Century Fox,Original Screenplay,Horror,NA,Richard Donner,84,5.4,24523,1976
The Omega Code,12610552,12678312,NA,7200000,Oct 15 1999,PG-13,NA,Providence Entertainment,Original Screenplay,Action,Fantasy,NA,8,3.3,3814,1999
Out of Africa,79096868,258210860,NA,31000000,Dec 18 1985,(Missing),NA,Universal,Based on Book/Short Story,Drama,Historical Fiction,Sydney Pollack,63,7,19638,1985
Ordinary People,52302978,52302978,NA,6000000,Sep 19 1980,(Missing),NA,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Robert Redford,91,7,138,1980
Othello,2844379,2844379,NA,11000000,Dec 14 1995,R,NA,Sony Pictures,Based on Play,Drama,Historical Fiction,NA,68,6.9,4289,1995
On the Waterfront,9600000,9600000,NA,910000,Jul 28 1954,(Missing),NA,NA,NA,(Missing),NA,Elia Kazan,100,8.4,41162,1954
Outbreak,67823573,67823573,NA,50000000,Mar 10 1995,R,NA,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Wolfgang Petersen,59,6.4,33192,1995
The Outsiders,25697647,25697647,NA,10000000,Mar 25 1983,PG-13,NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Francis Ford Coppola,65,7,23607,1983
The Oxford Murders,3607,8667348,NA,10000000,Aug 06 2010,R,NA,Magnolia Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,NA,10,6.1,8066,2010
Police Academy,81198894,81198894,NA,4500000,Mar 23 1984,(Missing),NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Hugh Wilson,47,6.3,23192,1984
Paa,199228,9791282,NA,4300000,Dec 04 2009,(Missing),NA,Reliance Big Pictures,NA,(Missing),NA,NA,60,7.3,1059,2009
Pale Rider,41410568,41410568,NA,6900000,Jun 28 1985,(Missing),NA,Warner Bros.,Original Screenplay,Western,Historical Fiction,Clint Eastwood,92,7.1,15352,1985
Patriot Games,83287363,178100000,NA,45000000,Jun 05 1992,(Missing),NA,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,75,6.9,29544,1992
The Pallbearer,5656388,5656388,NA,8000000,May 03 1996,PG-13,NA,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Matt Reeves,39,4.7,4166,1996
Pocahontas,141579773,347100000,NA,55000000,Jun 10 1995,G,NA,Walt Disney Pictures,Based on Real Life Events,Adventure,Historical Fiction,NA,55,6,26690,1995
Pocketful of Miracles,5000000,5000000,NA,2900000,Dec 31 1960,(Missing),NA,NA,NA,(Missing),NA,Frank Capra,63,7.2,2365,1960
PCU,4333569,4333569,NA,9000000,Apr 29 1994,PG-13,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,NA,47,6,6967,1994
Pete's Dragon,36000000,36000000,NA,10000000,Nov 03 1977,(Missing),NA,NA,NA,(Missing),NA,NA,50,6,4620,1977
Poltergeist,74706019,121706019,NA,10700000,Jun 04 1982,(Missing),NA,MGM,Original Screenplay,Horror,Fantasy,Tobe Hooper,86,7.4,32817,1982
Poltergeist III,14114000,14114000,NA,9500000,Jun 10 1988,(Missing),NA,MGM,Original Screenplay,Horror,Fantasy,NA,14,3.8,5387,1988
Phantasm II,7000000,7000000,NA,3000000,Jul 08 1988,(Missing),NA,Universal,NA,Horror,Fantasy,NA,29,6.3,3781,1988
Phenomenon,104636382,142836382,NA,32000000,Jul 05 1996,PG,124,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Jon Turteltaub,50,6.3,26823,1996
Philadelphia,77324422,201324422,NA,26000000,Dec 22 1993,(Missing),NA,Sony/TriStar,Original Screenplay,Drama,Contemporary Fiction,Jonathan Demme,74,7.6,53283,1993
The Phantom,17220599,17220599,NA,45000000,Jun 07 1996,PG,100,Paramount Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Simon Wincer,43,4.8,9477,1996
Pi,3221152,4678513,NA,68000,Jul 10 1998,R,NA,Live Entertainment,Original Screenplay,Thriller/Suspense,Science Fiction,Darren Aronofsky,86,7.5,53699,1998
The Pirate,2956000,2956000,NA,3700000,Dec 31 1947,(Missing),NA,NA,NA,(Missing),NA,Vincente Minnelli,71,7.1,1635,1947
Platoon,137963328,137963328,NA,6000000,Dec 19 1986,(Missing),NA,Orion Pictures,Original Screenplay,Drama,Historical Fiction,Oliver Stone,86,8.2,108641,1986
Panic,779137,889279,NA,1000000,Dec 01 2000,R,NA,Roxie Releasing,Original Screenplay,Drama,Contemporary Fiction,NA,92,2.7,473,2000
The Adventures of Pinocchio,15382170,36682170,NA,25000000,Jul 26 1996,G,94,New Line,Based on Book/Short Story,Adventure,Fantasy,Steve Barron,27,5.3,1734,1996
Poetic Justice,27450453,27450453,NA,14000000,Jul 23 1993,(Missing),NA,Sony/Columbia,Original Screenplay,Drama,Contemporary Fiction,John Singleton,36,5.1,3689,1993
Popeye,49823037,49823037,NA,20000000,Dec 12 1980,(Missing),NA,Paramount Pictures,NA,(Missing),NA,Robert Altman,56,4.9,11433,1980
Predator 2,28317513,54768418,NA,35000000,Nov 21 1990,(Missing),NA,20th Century Fox,Original Screenplay,Action,Science Fiction,Stephen Hopkins,23,6,35411,1990
Predator,59735548,98267558,NA,18000000,Jun 12 1987,(Missing),NA,20th Century Fox,Original Screenplay,Action,Science Fiction,John McTiernan,76,7.8,88522,1987
The Princess Bride,30857000,30857000,NA,15000000,Sep 25 1987,(Missing),NA,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,Rob Reiner,95,8.1,123571,1987
Prophecy,21000000,21000000,NA,12000000,Jun 15 1979,(Missing),NA,NA,NA,(Missing),NA,John Frankenheimer,25,4.7,1381,1979
The Prince of Tides,74787599,74787599,NA,30000000,Dec 25 1991,(Missing),NA,Sony/Columbia,Based on Book/Short Story,Drama,Contemporary Fiction,Barbra Streisand,74,6.4,6829,1991
Pretty Woman,178406268,463400000,NA,14000000,Mar 23 1990,(Missing),NA,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Garry Marshall,62,6.7,60742,1990
Partition,0,0,NA,10000000,Feb 02 2007,(Missing),NA,NA,Original Screenplay,Drama,Historical Fiction,NA,40,6.6,1275,2007
The Postman Always Rings Twice,12200000,44200000,NA,12000000,Mar 20 1981,(Missing),NA,NA,NA,(Missing),NA,Bob Rafelson,70,6.4,6886,1981
Peggy Sue Got Married,41382841,41382841,NA,18000000,Oct 10 1986,(Missing),NA,Sony/TriStar,Original Screenplay,Comedy,Fantasy,Francis Ford Coppola,88,6.3,12457,1986
Peter Pan,87400000,87400000,90536550,4000000,Feb 05 1953,PG,NA,RKO Radio Pictures,Based on Book/Short Story,Adventure,Fantasy,NA,83,7.1,16894,1953
Pet Sematary,57469179,57469179,NA,11500000,Apr 21 1989,(Missing),NA,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,NA,50,6.3,19257,1989
Patton,62500000,62500000,NA,12000000,Jan 01 1970,(Missing),NA,NA,NA,(Missing),NA,Franklin J. Schaffner,97,8.1,39570,1970
Pulp Fiction,107928762,212928762,NA,8000000,Oct 14 1994,R,NA,Miramax,Original Screenplay,Drama,Contemporary Fiction,Quentin Tarantino,94,8.9,417703,1994
Paint Your Wagon,31678778,31678778,NA,20000000,Oct 15 1969,PG-13,NA,Paramount Pictures,Based on Play,Musical,Historical Fiction,NA,23,6.5,5037,1969
The Perez Family,2794056,2794056,NA,11000000,May 12 1995,R,NA,Goldwyn Entertainment,Based on Book/Short Story,Comedy,Historical Fiction,Mira Nair,67,6,1177,1995
The Quick and the Dead,18552460,18552460,NA,32000000,Feb 10 1995,R,NA,Sony Pictures,Original Screenplay,Western,Historical Fiction,Sam Raimi,56,6.3,27352,1995
Quigley Down Under,21413105,21413105,NA,20000000,Oct 19 1990,(Missing),NA,MGM,Original Screenplay,Western,Historical Fiction,Simon Wincer,60,6.5,6001,1990
Quo Vadis?,30000000,30000000,NA,8250000,Feb 23 1951,(Missing),NA,NA,NA,(Missing),NA,NA,88,5.8,898,1951
Robin and Marian,8000000,8000000,NA,5000000,Mar 11 1976,(Missing),NA,NA,NA,(Missing),NA,NA,68,6.5,4800,1976
Ransom,136492681,308700000,NA,70000000,Nov 08 1996,R,121,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Ron Howard,70,6.6,38524,1996
Rosemary's Baby,33395426,33395426,NA,3200000,Jun 12 1968,(Missing),NA,NA,NA,(Missing),NA,Roman Polanski,98,8.1,50860,1968
Rebecca,6000000,6000000,NA,1288000,Dec 31 1939,(Missing),NA,MGM,Based on Book/Short Story,Drama,NA,Alfred Hitchcock,100,8.4,35429,1939
Robin Hood: Prince of Thieves,165493908,390500000,NA,50000000,Jun 14 1991,PG-13,NA,Warner Bros.,Traditional/Legend/Fairytale,Adventure,Historical Fiction,Kevin Reynolds,56,6.7,54480,1991
Rob Roy,31390587,31390587,NA,28000000,Apr 07 1995,R,NA,MGM,Based on Real Life Events,Drama,Dramatization,Michael Caton-Jones,71,6.8,15630,1995
Raging Bull,23380203,23380203,NA,18000000,Nov 14 1980,Not Rated,NA,MGM,Based on Real Life Events,Drama,Dramatization,Martin Scorsese,98,8.4,90015,1980
Richard III,2684904,4204857,NA,9200000,Dec 29 1995,R,NA,MGM,Based on Play,Drama,Historical Fiction,NA,95,7.5,6625,1995
Raising Cain,21171695,21171695,NA,11000000,Aug 07 1992,(Missing),NA,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,53,5.7,5135,1992
RoboCop,53424681,53424681,NA,13000000,Jul 17 1987,(Missing),NA,Orion Pictures,Original Screenplay,Action,Science Fiction,Paul Verhoeven,88,7.6,52898,1987
Ri¢hie Ri¢h,38087756,38087756,NA,40000000,Dec 21 1994,PG,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Donald Petrie,25,4.7,12687,1994
Radio Days,14792779,14792779,NA,16000000,Jan 30 1987,(Missing),NA,Orion Pictures,Original Screenplay,Comedy,Historical Fiction,Woody Allen,95,7.5,10839,1987
Radio Flyer,4651977,4651977,NA,35000000,Feb 21 1992,(Missing),NA,Sony Pictures,Original Screenplay,Drama,Historical Fiction,Richard Donner,43,6.5,6210,1992
Reservoir Dogs,2832029,2832029,18806836,1200000,Oct 23 1992,R,NA,Miramax,NA,(Missing),NA,Quentin Tarantino,96,8.4,212985,1992
Red River,9012000,9012000,NA,3000000,Dec 31 1947,(Missing),NA,NA,NA,(Missing),NA,Howard Hawks,100,7.8,10629,1947
Reds,50000000,50000000,NA,33500000,Dec 04 1981,(Missing),NA,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Warren Beatty,94,7.4,8455,1981
Red Sonja,6905861,6905861,NA,17900000,Jun 28 1985,(Missing),NA,MGM,Based on Book/Short Story,Action,Fantasy,Richard Fleischer,20,4.4,11896,1985
Roger & Me,6706368,6706368,NA,140000,Dec 20 1989,(Missing),NA,Warner Bros.,Based on Real Life Events,Documentary,Factual,Michael Moore,100,7.5,14883,1989
The Right Stuff,21500000,21500000,NA,27000000,Oct 21 1983,(Missing),NA,Warner Bros.,Based on Book/Short Story,Action,Dramatization,Philip Kaufman,97,7.9,24275,1983
The Rocky Horror Picture Show,139876417,139876417,NA,1200000,Sep 26 1975,(Missing),NA,20th Century Fox,NA,Musical,NA,NA,77,7.1,41265,1975
Road House,30050028,30050028,NA,10000000,May 19 1989,(Missing),NA,United Artists,Original Screenplay,Action,Contemporary Fiction,NA,44,5.8,14085,1989
Romeo Is Bleeding,3275585,3275585,NA,10000000,Feb 04 1994,R,NA,Gramercy,Original Screenplay,Drama,Contemporary Fiction,NA,24,6.3,6537,1994
The R.M.,1111615,1111615,NA,500000,Jan 31 2003,PG,NA,Halestone,Original Screenplay,Comedy,Contemporary Fiction,NA,64,5.5,449,2003
Rambo: First Blood Part II,150415432,300400000,NA,44000000,May 22 1985,R,NA,Sony/TriStar,Based on Book/Short Story,Action,Contemporary Fiction,George P. Cosmatos,30,5.8,38548,1985
Rambo III,53715611,188715611,NA,58000000,May 25 1988,(Missing),NA,Sony/TriStar,Based on Book/Short Story,Action,Contemporary Fiction,NA,36,4.9,31551,1988
Rain Man,172825435,412800000,NA,25000000,Dec 16 1988,(Missing),NA,MGM,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,87,8,106163,1988
The Robe,36000000,36000000,NA,5000000,Sep 16 1953,(Missing),NA,NA,NA,(Missing),NA,NA,38,6.7,2913,1953
The Rock,134069511,336069511,NA,75000000,Jun 07 1996,R,136,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,66,7.2,108324,1996
The Remains of the Day,22954968,63954968,NA,15000000,Nov 05 1993,(Missing),NA,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,James Ivory,97,7.9,21736,1993
Airplane!,83453539,83453539,NA,3500000,Jul 04 1980,(Missing),NA,NA,Original Screenplay,Comedy,NA,Jerry Zucker,98,7.8,57000,1980
Repo Man,2300000,2300000,NA,1500000,Mar 02 1984,(Missing),NA,Universal,Original Screenplay,Comedy,Science Fiction,NA,97,6.7,12438,1984
Raise the Titanic,7000000,7000000,NA,40000000,Aug 01 1980,PG,NA,NA,NA,(Missing),NA,NA,60,3.9,1757,1980
The Return of the Living Dead,14237880,14237880,NA,4000000,Aug 16 1985,(Missing),NA,Orion Pictures,NA,Horror,Science Fiction,NA,88,7.1,13621,1985
Return to Oz,10618813,10618813,NA,27000000,Jun 21 1985,(Missing),NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Fantasy,NA,55,6.7,7491,1985
The Running Man,38122000,38122000,NA,30000000,Nov 13 1987,(Missing),NA,Sony/TriStar,Based on Book/Short Story,Action,Science Fiction,Paul Michael Glaser,63,6.4,36308,1987
The River Wild,46815000,94215000,NA,45000000,Sep 30 1994,PG-13,NA,Universal,Original Screenplay,Action,Contemporary Fiction,Curtis Hanson,56,6.2,14285,1994
Safe Men,21210,21210,NA,1000000,Aug 07 1998,R,NA,October Films,NA,(Missing),NA,NA,58,5.9,1743,1998
Secrets & Lies,13417292,13417292,NA,4500000,Sep 28 1996,R,NA,October Films,Original Screenplay,Drama,Contemporary Fiction,Mike Leigh,94,7.9,14364,1996
Sgt. Bilko,30356589,37956589,NA,39000000,Mar 29 1996,PG,93,Universal,Based on TV,Comedy,Contemporary Fiction,NA,33,5.2,9693,1996
Sabrina,53458319,87100000,NA,58000000,Dec 15 1995,PG,NA,Paramount Pictures,Remake,Romantic Comedy,Contemporary Fiction,Sydney Pollack,61,6,15749,1995
Subway,390659,1663296,NA,2000000,Nov 06 1985,(Missing),NA,Island/Alive,Original Screenplay,Drama,Contemporary Fiction,Luc Besson,86,6.2,5904,1985
School Daze,14545844,14545844,NA,6000000,Feb 12 1988,(Missing),NA,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Spike Lee,58,5.3,2667,1988
Scarface,44942821,44942821,15386092,25000000,Dec 09 1983,Not Rated,NA,Universal,Remake,Drama,Historical Fiction,Brian De Palma,88,8.2,152262,1983
Schindler's List,96067179,321200000,NA,25000000,Dec 15 1993,R,NA,Universal,Based on Real Life Events,Drama,Dramatization,Steven Spielberg,97,8.9,276283,1993
Short Cut to Nirvana: Kumbh Mela,381225,439651,NA,200000,Oct 22 2004,Not Rated,NA,Mela Films,Based on Real Life Events,Documentary,Factual,NA,75,6.9,105,2004
Spartacus,30000000,60000000,NA,12000000,Oct 07 1960,(Missing),NA,Universal,Based on Book/Short Story,Action,Dramatization,Stanley Kubrick,96,8,50856,1960
Sunday,410919,450349,NA,450000,Aug 22 1997,(Missing),NA,NA,NA,Drama,NA,NA,79,6.9,436,1997
She Done Him Wrong,2000000,2000000,NA,200000,Feb 09 2033,(Missing),NA,NA,NA,(Missing),NA,NA,100,6.7,1795,2033
State Fair,3500000,3500000,NA,4500000,Mar 09 1962,(Missing),NA,NA,NA,(Missing),NA,NA,14,5.7,436,1962
She's Gotta Have It,7137502,7137502,NA,175000,Aug 08 1986,(Missing),NA,Island,Original Screenplay,Comedy,Contemporary Fiction,Spike Lee,93,6.2,2594,1986
Stargate,71565669,196565669,NA,55000000,Oct 28 1994,PG-13,NA,MGM,Original Screenplay,Action,Science Fiction,Roland Emmerich,46,6.7,47174,1994
The Shadow,31835600,31835600,NA,40000000,Jul 01 1994,PG-13,NA,Universal,Based on Comic/Graphic Novel,Action,Super Hero,Russell Mulcahy,34,5.6,9530,1994
Show Boat,11000000,11000000,NA,2300000,Sep 24 1951,(Missing),NA,NA,NA,(Missing),NA,NA,89,6.9,1788,1951
Shadowlands,25842377,25842377,NA,22000000,Dec 29 1993,R,NA,Savoy,Based on Play,Drama,Dramatization,Sir Richard Attenborough,96,7.4,7689,1993
Shanghai Surprise,2315000,2315000,NA,17000000,Aug 29 1986,(Missing),NA,MGM,NA,(Missing),NA,NA,14,2.6,2591,1986
Sheena,5778353,5778353,NA,25000000,Aug 17 1984,(Missing),NA,Sony/Columbia,Based on Comic/Graphic Novel,Adventure,Contemporary Fiction,John Guillermin,38,4.3,1598,1984
Shine,35811509,35811509,NA,5500000,Nov 22 1996,PG-13,105,Fine Line,Based on Real Life Events,Drama,Dramatization,Scott Hicks,90,7.6,22439,1996
The Shining,44017374,44017374,NA,19000000,May 23 1980,(Missing),NA,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,Stanley Kubrick,87,8.5,177762,1980
Ishtar,14375181,14375181,NA,40000000,May 15 1987,(Missing),NA,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,19,3.7,6094,1987
Showgirls,20254932,20254932,NA,40000000,Sep 22 1995,NC-17,NA,MGM,Original Screenplay,Drama,Contemporary Fiction,Paul Verhoeven,12,4.1,27004,1995
The Shawshank Redemption,28241469,28241469,NA,25000000,Sep 23 1994,R,NA,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Frank Darabont,88,9.2,519541,1994
Silver Bullet,10803211,10803211,NA,7000000,Oct 11 1985,(Missing),NA,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,NA,50,5.9,6387,1985
Set It Off,36049108,36049108,NA,9000000,Nov 06 1996,R,120,New Line,Original Screenplay,Drama,Contemporary Fiction,F. Gary Gray,61,6.3,4570,1996
The Silence of the Lambs,130726716,275726716,NA,20000000,Feb 14 1991,(Missing),NA,Orion Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Jonathan Demme,96,8.7,244856,1991
Thinner,15171475,15171475,NA,14000000,Oct 25 1996,R,93,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,NA,18,5.3,7888,1996
Sling Blade,24475416,34175000,NA,4833610,Nov 20 1996,R,133,Miramax,Based on Short Film,Drama,Contemporary Fiction,NA,96,8,41785,1996
Slacker,1227508,1227508,NA,23000,Aug 01 1991,(Missing),NA,NA,NA,(Missing),NA,Richard Linklater,83,6.9,5907,1991
Some Like it Hot,25000000,25000000,NA,2883848,Mar 29 1959,(Missing),NA,NA,NA,(Missing),NA,Billy Wilder,97,8.3,67157,1959
The Scarlet Letter,10359006,10359006,NA,50000000,Oct 13 1995,R,NA,Walt Disney Pictures,Based on Book/Short Story,Drama,Historical Fiction,Roland Joffe,15,4.6,6155,1995
Sleeper,18344729,18344729,NA,2000000,Dec 17 1973,(Missing),NA,MGM,Original Screenplay,Comedy,NA,Woody Allen,100,7.3,15466,1973
Sleepers,53300852,165600852,NA,44000000,Oct 18 1996,R,105,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Barry Levinson,73,7.3,51874,1996
The Usual Suspects,23341568,23341568,NA,6000000,Aug 16 1995,R,NA,Gramercy,Original Screenplay,Drama,Contemporary Fiction,Bryan Singer,87,8.7,266890,1995
Silverado,33200000,33200000,NA,26000000,Jul 10 1985,(Missing),NA,Sony/Columbia,Original Screenplay,Western,Historical Fiction,Lawrence Kasdan,76,7,14243,1985
Salvador,1500000,1500000,NA,4500000,Apr 23 1986,(Missing),NA,Hemdale,Original Screenplay,Drama,NA,NA,91,7.5,7797,1986
Somewhere in Time,9709597,9709597,NA,5100000,Oct 03 1980,(Missing),NA,Universal,Based on Book/Short Story,Drama,Fantasy,NA,63,7,8787,1980
Smoke Signals,6719300,7756617,NA,2000000,Jun 26 1998,PG-13,NA,Miramax,Based on Book/Short Story,Comedy,Contemporary Fiction,NA,86,6.9,5058,1998
Serial Mom,7881335,7881335,NA,13000000,Apr 13 1994,R,NA,Savoy,Original Screenplay,Comedy,Contemporary Fiction,John Waters,61,6.4,10999,1994
Silent Movie,36145695,36145695,NA,4400000,Jun 25 1976,(Missing),NA,20th Century Fox,Original Screenplay,Comedy,NA,Mel Brooks,89,6.4,6248,1976
The Santa Clause,144833357,189800000,NA,22000000,Nov 11 1994,PG,NA,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,John Pasquin,79,6.1,17773,1994
The Singles Ward,1250798,1250798,NA,500000,Feb 01 2002,PG,NA,Halestorm Entertainment,Original Screenplay,Comedy,Contemporary Fiction,NA,50,5.7,736,2002
Sense and Sensibility,42993774,134993774,NA,16500000,Dec 11 1995,PG,NA,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,98,7.7,31279,1995
Singin' in the Rain,3600000,3600000,NA,2540000,Apr 10 1952,(Missing),NA,MGM,NA,(Missing),NA,Stanley Donen,100,8.4,55352,1952
The Sound of Music,163214286,286214286,NA,8200000,Apr 01 1965,(Missing),NA,20th Century Fox,Based on Book/Short Story,Musical,Historical Fiction,Robert Wise,81,6.3,45,1965
She's the One,9482579,13795053,NA,3500000,Aug 23 1996,R,NA,Fox Searchlight,Original Screenplay,Romantic Comedy,Contemporary Fiction,Edward Burns,60,6,8159,1996
Straight out of Brooklyn,2712293,2712293,NA,450000,Dec 31 1990,(Missing),NA,NA,NA,(Missing),NA,NA,100,5.6,263,1990
Spaceballs,38119483,38119483,NA,22700000,Jun 24 1987,(Missing),NA,MGM,Original Screenplay,Comedy,Science Fiction,Mel Brooks,65,6.9,52434,1987
Speed,121248145,283200000,NA,30000000,Jun 10 1994,R,NA,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Jan De Bont,90,2.6,4175,1994
